"id","companyId","title","description","createdAt"
"f3YzmnBZpK0o","FjcJCHJALA4i","Frontend Developer","We are looking for a Frontend Developer familiar with React.","2023-01-26T11:00:00.000Z"
"XYZNJMXFax6n","FjcJCHJALA4i","Backend Developer","We are looking for a Backend Developer familiar with Node.js and Express.","2023-01-27T11:00:00.000Z"
"6mA05AZxvS1R","Gu7QW9LcnF5d","Full-Stack Developer","We are looking for a Full-Stack Developer familiar with Node.js, Express, and React.","2023-01-30T11:00:00.000Z"
"68a96484-5ace-44fe-bc74-22c8345c050c", "FjcJCHJALA4i", "Jobs 1", "multi-tasking", "2024-01-27T14:01:31.141Z"
"ceb1e841-0b21-4bb3-8acd-eb982281a3ff", "FjcJCHJALA4i", "Jobs 2", "radical", "2024-01-27T14:01:32.141Z"
"ce672bb2-bd5d-4f2d-882c-a27326924466", "FjcJCHJALA4i", "Jobs 3", "client-server", "2024-01-27T14:01:33.141Z"
"a36cb032-f6d0-482f-8da0-af27ab54a0d1", "Gu7QW9LcnF5d", "Jobs 4", "composite", "2024-01-27T14:01:34.141Z"
"45416cdd-b084-4f29-8140-db0d518d75b4", "FjcJCHJALA4i", "Jobs 5", "local", "2024-01-27T14:01:35.141Z"
"10a2d75c-5f39-4dab-a178-e7931c9ec952", "FjcJCHJALA4i", "Jobs 6", "directional", "2024-01-27T14:01:36.141Z"
"255e06fd-2dbe-4d88-a591-b842e2c969c8", "Gu7QW9LcnF5d", "Jobs 7", "optimizing", "2024-01-27T14:01:37.141Z"
"ef92be1d-5abd-4556-928a-5d2f6fea6c94", "FjcJCHJALA4i", "Jobs 8", "dynamic", "2024-01-27T14:01:38.141Z"
"737e25ad-f8cd-4971-8bb3-be9d04c6dfe0", "Gu7QW9LcnF5d", "Jobs 9", "logistical", "2024-01-27T14:01:39.141Z"
"29589444-78f8-472c-85ba-6beb8c8e2837", "Gu7QW9LcnF5d", "Jobs 10", "multi-state", "2024-01-27T14:01:40.141Z"
"47effde3-4324-40d5-bc8b-d8297724c841", "Gu7QW9LcnF5d", "Jobs 11", "bifurcated", "2024-01-27T14:01:41.141Z"
"4b1049e3-b7eb-40b0-812d-ffa6400ef590", "Gu7QW9LcnF5d", "Jobs 12", "dedicated", "2024-01-27T14:01:42.141Z"
"a0689b17-eb17-49e2-b3ac-9f4d623b3053", "FjcJCHJALA4i", "Jobs 13", "mobile", "2024-01-27T14:01:43.141Z"
"0284711e-ce16-482e-bf60-860bc1c520a3", "FjcJCHJALA4i", "Jobs 14", "user-facing", "2024-01-27T14:01:44.141Z"
"94ff0fa6-38ba-4360-bc7b-83ee1a870aab", "FjcJCHJALA4i", "Jobs 15", "object-oriented", "2024-01-27T14:01:45.141Z"
"6e78a4ae-fce0-4bed-9ada-861e7f847f54", "Gu7QW9LcnF5d", "Jobs 16", "heuristic", "2024-01-27T14:01:46.141Z"
"cc6e4f42-c6f9-459e-85d1-7f62d05c19ac", "Gu7QW9LcnF5d", "Jobs 17", "executive", "2024-01-27T14:01:47.141Z"
"14a50f06-c816-489f-a2a5-03774eb8e781", "FjcJCHJALA4i", "Jobs 18", "asymmetric", "2024-01-27T14:01:48.141Z"
